variant,delay_months,year,demand_total_t,demand_critical_t,served_total_t,served_critical_t,service_level_total,service_level_critical,shortage_total_t,shortage_critical_t,opening_t,closing_t,planned_inflow_t,throughput_t,losses_t,loss_ratio,reserve_required_t,reserve_ok,average_stock_t,storage_mode_end,storage_capacity_end_t,emergency_share_of_demand,balance_residual_t
physical_stock,6,2039,320.0,210.0,320.0,210.0,1.0,1.0,0.0,0.0,36.35554920000014,44.98569000000019,332.6216,332.6216,3.9914592000000004,0.012000000000000002,39.45205479452055,False,40.670619600000165,ZBO,120.0,0.0,-4.263256414560601e-14
physical_stock,6,2040,390.0,250.00000000000003,390.0,250.00000000000003,1.0,1.0,0.0,0.0,44.98569000000019,44.985747200000304,394.7369,394.7369,4.7368428,0.012,48.082191780821915,False,44.98571860000024,ZBO,120.0,0.0,-8.526512829121202e-14
guarded_calendar,6,2035,100.0,80.0,100.0,80.0,1.0,1.0,0.0,0.0,12.328859000000001,17.260439000000027,109.876,109.876,4.944420000000001,0.045000000000000005,12.32876712328767,True,14.794649000000012,BASE,70.0,0.0,-3.552713678800501e-14
guarded_calendar,6,2036,140.0,105.0,140.0,105.0,1.0,1.0,0.0,0.0,17.260439000000027,23.424908000000073,153.0518,153.0518,6.887331,0.045000000000000005,17.26027397260274,True,20.34267350000004,BASE,70.0,0.0,-5.684341886080802e-14
guarded_calendar,6,2037,190.0,135.0,190.0,135.0,1.0,1.0,0.0,0.0,23.424908000000073,26.69653573333342,198.79213333333334,198.79213333333334,5.5205056,0.027770241746655298,23.424657534246574,True,22.105314933333414,ZBO,120.0,0.0,-1.4210854715202004e-14
guarded_calendar,6,2038,250.0,170.0,250.0,170.0,1.0,1.0,0.0,0.0,26.69653573333342,35.3266789333335,261.7714,261.7714,3.1412568000000007,0.012000000000000002,30.82191780821918,False,31.01160733333346,ZBO,120.0,0.0,-7.105427357601002e-14
guarded_calendar,6,2039,320.0,210.0,320.0,210.0,1.0,1.0,0.0,0.0,35.3266789333335,43.956819733333546,332.6216,332.6216,3.9914592000000004,0.012000000000000002,39.45205479452055,False,39.64174933333352,ZBO,120.0,0.0,-7.105427357601002e-14
guarded_calendar,6,2040,390.0,250.00000000000003,390.0,250.00000000000003,1.0,1.0,0.0,0.0,43.956819733333546,43.95687693333366,394.7369,394.7369,4.7368428,0.012,48.082191780821915,False,43.956848333333596,ZBO,120.0,0.0,-1.1368683772161603e-13
without_measure,12,2035,100.0,80.0,100.0,80.0,1.0,1.0,0.0,0.0,12.328859000000001,17.260439000000027,109.876,109.876,4.944420000000001,0.045000000000000005,12.32876712328767,True,14.794649000000012,BASE,70.0,0.0,-3.552713678800501e-14
without_measure,12,2036,140.0,105.0,140.0,105.0,1.0,1.0,0.0,0.0,17.260439000000027,23.424908000000073,153.0518,153.0518,6.887331,0.045000000000000005,17.26027397260274,True,20.34267350000004,BASE,70.0,0.0,-5.684341886080802e-14
without_measure,12,2037,190.0,135.0,190.0,135.0,1.0,1.0,0.0,0.0,23.424908000000073,18.009908000000095,190.0,190.0,5.415,0.0285,23.424657534246574,True,19.933658000000083,ZBO,120.0,0.0,-1.4210854715202004e-14
without_measure,12,2038,250.0,170.0,250.0,170.0,1.0,1.0,0.0,0.0,18.009908000000095,26.64005120000017,261.7714,261.7714,3.1412568000000007,0.012000000000000002,30.82191780821918,False,22.32497960000013,ZBO,120.0,0.0,-3.907985046680551e-14
without_measure,12,2039,320.0,210.0,320.0,210.0,1.0,1.0,0.0,0.0,26.64005120000017,35.270192000000165,332.6216,332.6216,3.9914592000000004,0.012000000000000002,39.45205479452055,False,30.955121600000155,ZBO,120.0,0.0,1.4210854715202004e-14
without_measure,12,2040,390.0,250.00000000000003,390.0,250.00000000000003,1.0,1.0,0.0,0.0,35.270192000000165,35.27024920000028,394.7369,394.7369,4.7368428,0.012,48.082191780821915,False,35.270220600000215,ZBO,120.0,0.0,-8.526512829121202e-14
physical_stock,12,2035,100.0,80.0,100.0,80.0,1.0,1.0,0.0,0.0,12.328859000000001,17.260439000000027,109.876,109.876,4.944420000000001,0.045000000000000005,12.32876712328767,True,14.794649000000012,BASE,70.0,0.0,-3.552713678800501e-14
physical_stock,12,2036,140.0,105.0,140.0,105.0,1.0,1.0,0.0,0.0,17.260439000000027,23.424908000000073,153.0518,153.0518,6.887331,0.045000000000000005,17.26027397260274,True,20.34267350000004,BASE,70.0,0.0,-5.684341886080802e-14
