scenario_id,plan_id,year,month,storage_mode,storage_capacity_t,loss_rate,opening_t,planned_inflow_t,throughput_t,losses_t,available_t,demand_t,critical_demand_t,served_t,served_critical_t,shortage_t,shortage_critical_t,closing_t,holding_cost_mln,inflow_A_t
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2039,9,ZBO,120.000000,0.012000,36.164609,22.174775,22.174775,0.266097,58.073287,21.333333,14.000000,21.333333,14.000000,0.000000,0.000000,36.739954,2.187137,12.174775
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2039,10,ZBO,120.000000,0.012000,36.739954,22.174775,22.174775,0.266097,58.648631,21.333333,14.000000,21.333333,14.000000,0.000000,0.000000,37.315298,2.221658,12.174775
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2039,11,ZBO,120.000000,0.012000,37.315298,22.174775,22.174775,0.266097,59.223976,21.333333,14.000000,21.333333,14.000000,0.000000,0.000000,37.890642,2.256178,12.174775
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2039,12,ZBO,120.000000,0.012000,37.890642,22.174775,22.174775,0.266097,59.799320,21.333333,14.000000,21.333333,14.000000,0.000000,0.000000,38.465987,2.290699,12.174775
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2040,1,ZBO,120.000000,0.012000,38.465987,26.315792,26.315792,0.315790,64.465989,26.000000,16.666667,26.000000,16.666667,0.000000,0.000000,38.465989,2.307959,15.833333
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2040,2,ZBO,120.000000,0.012000,38.465989,26.315792,26.315792,0.315790,64.465991,26.000000,16.666667,26.000000,16.666667,0.000000,0.000000,38.465991,2.307959,15.833333
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2040,3,ZBO,120.000000,0.012000,38.465991,26.315792,26.315792,0.315790,64.465993,26.000000,16.666667,26.000000,16.666667,0.000000,0.000000,38.465993,2.307960,15.833333
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2040,4,ZBO,120.000000,0.012000,38.465993,26.315792,26.315792,0.315790,64.465995,26.000000,16.666667,26.000000,16.666667,0.000000,0.000000,38.465995,2.307960,15.833333
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2040,5,ZBO,120.000000,0.012000,38.465995,26.315792,26.315792,0.315790,64.465998,26.000000,16.666667,26.000000,16.666667,0.000000,0.000000,38.465998,2.307960,15.833333
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2040,6,ZBO,120.000000,0.012000,38.465998,26.315792,26.315792,0.315790,64.466000,26.000000,16.666667,26.000000,16.666667,0.000000,0.000000,38.466000,2.307960,15.833333
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2040,7,ZBO,120.000000,0.012000,38.466000,26.315792,26.315792,0.315790,64.466002,26.000000,16.666667,26.000000,16.666667,0.000000,0.000000,38.466002,2.307960,15.833333
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2040,8,ZBO,120.000000,0.012000,38.466002,26.315792,26.315792,0.315790,64.466004,26.000000,16.666667,26.000000,16.666667,0.000000,0.000000,38.466004,2.307960,15.833333
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2040,9,ZBO,120.000000,0.012000,38.466004,26.315792,26.315792,0.315790,64.466006,26.000000,16.666667,26.000000,16.666667,0.000000,0.000000,38.466006,2.307960,15.833333
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2040,10,ZBO,120.000000,0.012000,38.466006,26.315792,26.315792,0.315790,64.466008,26.000000,16.666667,26.000000,16.666667,0.000000,0.000000,38.466008,2.307960,15.833333
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2040,11,ZBO,120.000000,0.012000,38.466008,26.315792,26.315792,0.315790,64.466011,26.000000,16.666667,26.000000,16.666667,0.000000,0.000000,38.466011,2.307961,15.833333
TEAM_LOW_DEMAND,P3_isru_zbo_team_low_demand,2040,12,ZBO,120.000000,0.012000,38.466011,26.315792,26.315792,0.315790,64.466013,26.000000,16.666667,26.000000,16.666667,0.000000,0.000000,38.466013,2.307961,15.833333
